fuente_ref,organizacion,titulo,fecha_publicacion,caracter,url,nota
F01,Hugging Face,Security incident disclosure - July 2026,2026-07-16,primaria,https://huggingface.co/blog/security-incident-july-2026,Comunicacion de la organizacion afectada
F02,OpenAI,OpenAI and Hugging Face partner to address security incident during model evaluation,2026-07-21,primaria,https://openai.com/index/hugging-face-model-evaluation-security-incident/,Declaracion conjunta
F03,Hugging Face,Anatomy of a Frontier Lab Agent Intrusion: A Technical Timeline of the July 2026 Incident,2026-07-27,primaria,https://huggingface.co/blog/agent-intrusion-technical-timeline,Cronologia tecnica detallada
F04,OpenAI,The Hugging Face incident and the road ahead,2026-08-26,primaria,https://openai.com/index/hugging-face-incident-and-the-road-ahead/,Informe posterior
F05,TechRadar Pro,Hugging Face reveals unauthorized access to AI model hosting platform,2026-07,secundaria,https://www.techradar.com/pro/security/hugging-face-reveals-unauthorized-access-to-ai-model-hosting-platform,Fecha exacta pendiente de verificar
F06,The Hacker News,Worlds Largest AI Model Repository Hugging Face Breached by Autonomous AI Agent,2026-07-20,secundaria,https://thehackernews.com/2026/07/worlds-largest-ai-model-repository.html,Titulo transcrito sin apostrofo
F07,TechCrunch,Hugging Face says it detected unauthorized access to its AI model hosting platform,2024-05-31,secundaria,https://techcrunch.com/2024/05/31/hugging-face-says-it-detected-unauthorized-access-to-its-ai-model-hosting-platform,Antecedente de 2024
F08,SecurityWeek,Secrets Exposed in Hugging Face Hack,2024-06,secundaria,https://www.securityweek.com/secrets-exposed-in-hugging-face-hack/,Antecedente de 2024; fecha exacta pendiente de verificar
F09,Wikipedia,2026 OpenAI agent cyberattacks,2026,terciaria,https://en.wikipedia.org/wiki/2026_OpenAI_agent_cyberattacks,Sirve para orientarse; no sostiene por si sola un hecho
F10,Cybersecurity Dive,Hundreds of agents went rogue in lead up to Hugging Face breach,2026-08-27,secundaria,https://www.cybersecuritydive.com/news/hundreds-agents-rogue-lead-up-hugging-face-breach/828963/,
F11,Cloud Security Alliance,Hugging Face Incident Initial Post Mortem,2026,secundaria,https://cloudsecurityalliance.org/artifacts/hugging-face-ciso-post-mortem,Fecha exacta pendiente de verificar
F12,CNBC,OpenAI releases sweeping report on Hugging Face AI agent hack,2026-08-26,secundaria,https://www.cnbc.com/2026/08/26/open-ai-hugging-face-hack.html,
